index,volume(m3),weight(ton)
1,179.71,242.61
2,146.81,198.20
3,106.45,143.71
4,201.15,271.56
5,62.09,83.83
6,31.29,42.25
7,621.34,838.81
8,1.18,1.60
9,486.58,656.89
10,213.56,288.31
11,0,400
12,0,200
13,409.46,552.78
14,3.96,5.35
15,19.68,26.57
16,647.82,874.56
17,31.92,43.1
18,503.17,679.28
19,298.66,403.20
20,98.92,133.55
21,40.84,55.14
22,983.84,1328.19
23,44.75,60.42
24,5.68,7.67
25,451.01,608.87
26,114.47,154.54
27,12.43,16.79
28,44.83,60.53
29,35.18,47.50
30,142.35,192.18
31,578.24,780.63
32,692.59,935.00
33,1880.67,2538.91
34,78.55,106.05
35,5.82,7.86
36,25.47,34.39
37,31.05,41.92
38,137.55,185.70
39,484.95,654.69
40,1412.35,1906.68
41,313.48,423.20
42,66.42,89.67
43,17.75,23.97
44,9.13,12.33
45-46,468.38,632.32
47,822.62,1110.54
48,18.11,24.45
49-50,369.31,498.57
51,926.58,1250.89
52,383.26,517.41
53,9.23,12.47
54,493.79,666.62
55,1032.13,1393.38
56,324.90,438.62
56-1,1.34,1.81
57,81.52,110.06
58,3.25,4.39
59,2.69,3.64
60,143.07,193.15
61,327.86,442.6155
62,368.16,497.02
63,27.64,37.32
64,628.44,848.40
65,601.86,812.52
66,1040.36,1404.49
67,285.85,385.90
68,66.03,89.15
69,57.85,78.10
70,307.91,415.68
71,88.94,120.07
72,294.36,397.39
73,100.86,136.17
74,332.23,448.52
75,421.34,568.81
76,2083.25,2812.39
77,386.58,521.89
78,314.67,424.81
79,17.06,23.04
80,982.37,1326.20
81,194.03,261.95
82,128.74,173.80
83,1022.14,1379.89
84,13.84,18.69
85,1293.90,1746.77
86,1352.57,1825.97
87,10.26,13.86
88,321.84,434.49
89,0,0
90-91,97.88,132.14
92-1,2252.58,3040.99
93,740.90,1000.22
94,262.05,353.77
95,16.54,22.33
96,2342.62,3162.54
97,30.07,40.60
97-1,5.09,6.88
98,643.02,868.095
99,100,452.83
101,228.02,307.83
102,1063.39,1435.58
103,2323.10,3136.19
104-105,259.48,350.30
105-1,680.32,918.44
106,5.74,7.75
107,140.15,189.21
108,204.10,275.54
109,7.50,10.13
